start_time_s,end_time_s,pitch_midi,velocity,pitch_bend
10.316079365079366,10.780478458049888,60,93,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
10.095489795918368,10.316079365079366,60,102,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9.956170068027212,10.095489795918368,59,49,-1,-1,-1,-1,-1,-1,-1,-2,-2,-1,0,0
9.583366893424035,9.815566439909297,58,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9.351167346938775,9.583366893424035,57,97,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
8.886768253968254,9.351167346938775,58,106,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
8.654568707482992,8.840328344671201,60,86,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1
8.329489342403628,8.538468934240363,65,89,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,0,0,0
8.120509750566892,8.329489342403628,65,105,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3
7.910246258503402,8.10889977324263,67,92,-2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-2,-2
7.457457142857143,7.770926530612245,60,94,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4
7.190427664399093,7.376187301587302,65,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.039497959183674,7.17881768707483,64,86,-5,0,0,1,1,1,1,1,1,1,1,1
6.830518367346939,7.062717913832199,62,89,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.49382902494331,6.830518367346939,62,106,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
6.226799546485261,6.49382902494331,62,90,-2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,2
4.64655873015873,4.960028117913832,60,90,0,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1
4.2982594104308385,4.64655873015873,60,97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,0,0,0
3.83257641723356,4.100889795918367,62,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
3.588766893424036,3.83257641723356,62,44,0,1,1,1,1,1,1,1,-2,1,-2,-2,1,0,-1,-1,1,1,1,1,1
3.3565673469387756,3.588766893424036,62,57,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2.7064086167800454,2.938608163265306,60,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
2.4858190476190476,2.6831886621315193,64,93,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.346499319727891,2.4858190476190476,63,86,4,1,1,1,1,1,0,0,0,0,1,2
2.1142997732426303,2.346499319727891,65,91,1,2,2,2,1,1,1,0,0,0,0,1,1,2,2,2,2,1,1,-2
1.7763265306122449,2.1142997732426303,64,99,-2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.2770975056689342,1.5789569160997732,65,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.9984580498866213,1.2770975056689342,65,97,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
0.6849886621315193,0.9984580498866213,65,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0.46439909297052157,0.6849886621315193,65,110,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.194027664399093,3.3449573696145123,60,85,2,2,2,2,1,1,1,1,1,1,1,1,2
